metric,value,threshold,dataset,name,depth,sample,index,recon_steps,recon_min,recon_max,recon_wavelength,recon_resolution,dilation,resolver,min_size,iters
roc,0.07063382922865358,0.012028579180609568,Low Concentration,60k,,,,,,,,,,,,
roc,0.07063382922865358,0.012209460070543547,Low Concentration,60k,,,,,,,,,,,,
roc,0.07100887610951369,0.012209460070543547,Low Concentration,60k,,,,,,,,,,,,
roc,0.07100887610951369,0.012299900515510536,Low Concentration,60k,,,,,,,,,,,,
roc,0.07125890736342043,0.012299900515510536,Low Concentration,60k,,,,,,,,,,,,
roc,0.07125890736342043,0.012390340960477525,Low Concentration,60k,,,,,,,,,,,,
roc,0.07413426678334792,0.012390340960477525,Low Concentration,60k,,,,,,,,,,,,
roc,0.07413426678334792,0.012480781405444515,Low Concentration,60k,,,,,,,,,,,,
roc,0.0746343292911614,0.012480781405444515,Low Concentration,60k,,,,,,,,,,,,
roc,0.0746343292911614,0.012571221850411504,Low Concentration,60k,,,,,,,,,,,,
roc,0.07488436054506814,0.012571221850411504,Low Concentration,60k,,,,,,,,,,,,
roc,0.07488436054506814,0.012661662295378493,Low Concentration,60k,,,,,,,,,,,,
roc,0.07525940742592824,0.012661662295378493,Low Concentration,60k,,,,,,,,,,,,
roc,0.07525940742592824,0.012752102740345482,Low Concentration,60k,,,,,,,,,,,,
roc,0.07813476684585573,0.012752102740345482,Low Concentration,60k,,,,,,,,,,,,
roc,0.07813476684585573,0.012842543185312472,Low Concentration,60k,,,,,,,,,,,,
roc,0.07850981372671584,0.012842543185312472,Low Concentration,60k,,,,,,,,,,,,
roc,0.07850981372671584,0.012932983630279461,Low Concentration,60k,,,,,,,,,,,,
roc,0.07888486060757595,0.012932983630279461,Low Concentration,60k,,,,,,,,,,,,
roc,0.07888486060757595,0.01311386452021344,Low Concentration,60k,,,,,,,,,,,,
roc,0.07938492311538943,0.01311386452021344,Low Concentration,60k,,,,,,,,,,,,
roc,0.07938492311538943,0.013204304965180429,Low Concentration,60k,,,,,,,,,,,,
roc,0.08288536067008376,0.013204304965180429,Low Concentration,60k,,,,,,,,,,,,
roc,0.08288536067008376,0.013294745410147418,Low Concentration,60k,,,,,,,,,,,,
roc,0.08301037629703713,0.013294745410147418,Low Concentration,60k,,,,,,,,,,,,
roc,0.08301037629703713,0.013385185855114407,Low Concentration,60k,,,,,,,,,,,,
roc,0.08326040755094387,0.013385185855114407,Low Concentration,60k,,,,,,,,,,,,
roc,0.08326040755094387,0.013475626300081396,Low Concentration,60k,,,,,,,,,,,,
roc,0.08751093886735842,0.013475626300081396,Low Concentration,60k,,,,,,,,,,,,
roc,0.08751093886735842,0.013566066745048386,Low Concentration,60k,,,,,,,,,,,,
roc,0.08763595449431179,0.013566066745048386,Low Concentration,60k,,,,,,,,,,,,
roc,0.08763595449431179,0.013656507190015375,Low Concentration,60k,,,,,,,,,,,,
roc,0.08876109513689211,0.013656507190015375,Low Concentration,60k,,,,,,,,,,,,
roc,0.08876109513689211,0.013746947634982364,Low Concentration,60k,,,,,,,,,,,,
roc,0.08888611076384548,0.013746947634982364,Low Concentration,60k,,,,,,,,,,,,
roc,0.08888611076384548,0.013837388079949354,Low Concentration,60k,,,,,,,,,,,,
roc,0.0896362045255657,0.013837388079949354,Low Concentration,60k,,,,,,,,,,,,
